epoch,acc,auc,loss,lr,val_acc,val_auc,val_loss
0,0.8842856884002686,0.8539278507232666,0.35164886713027954,1e-04,0.8461904525756836,0.8301542401313782,0.6076212525367737
1,0.92166668176651,0.9189860224723816,0.22470742464065552,1e-04,0.9028571248054504,0.7647523880004883,0.5494365692138672
2,0.9292857050895691,0.9423532485961914,0.19225583970546722,1e-04,0.7645238041877747,0.7798315286636353,0.47900956869125366
3,0.9430952668190002,0.9491225481033325,0.17269103229045868,1e-04,0.932619035243988,0.903302788734436,0.27413854002952576
4,0.9480952620506287,0.9624015092849731,0.1516951322555542,1e-04,0.9628571271896362,0.978267252445221,0.1228778064250946
5,0.9504761695861816,0.9653897881507874,0.1458026021718979,1e-04,0.9419047832489014,0.9802170991897583,0.15134871006011963
6,0.9571428298950195,0.9757211804389954,0.12526220083236694,1e-04,0.18285714089870453,0.9043480157852173,2.2923130989074707
7,0.9609524011611938,0.9754603505134583,0.11833485960960388,1e-04,0.8342857360839844,0.9821343421936035,0.39068302512168884
8,0.9654762148857117,0.9850389361381531,0.10081519186496735,1e-04,0.9649999737739563,0.9783305525779724,0.1127692386507988
9,0.9659523963928223,0.9833580255508423,0.10060255229473114,1e-04,0.9300000071525574,0.9352617263793945,0.27678486704826355
10,0.9683333039283752,0.9829868674278259,0.10029646009206772,1e-04,0.8069047331809998,0.9747625589370728,0.509469211101532
11,0.9700000286102295,0.9842324256896973,0.08941364288330078,1e-04,0.5935714244842529,0.9518381953239441,1.0852590799331665
12,0.9780952334403992,0.9891703724861145,0.07433289289474487,5e-05,0.9457142949104309,0.9929911494255066,0.12195431441068649
13,0.9788095355033875,0.9911613464355469,0.06826718151569366,5e-05,0.9795238375663757,0.993707537651062,0.06278526782989502
14,0.982619047164917,0.9942678213119507,0.062335699796676636,5e-05,0.9645237922668457,0.9859730005264282,0.10945935547351837
15,0.9795238375663757,0.9925597906112671,0.06528299301862717,5e-05,0.9769047498703003,0.9963676929473877,0.06190009042620659
16,0.9811905026435852,0.9912537336349487,0.06405243277549744,5e-05,0.9373809695243835,0.9920896291732788,0.1432475745677948
17,0.9811905026435852,0.9941275119781494,0.059557586908340454,5e-05,0.9671428799629211,0.977165699005127,0.12121747434139252
18,0.9847618937492371,0.9923598170280457,0.05261099711060524,5e-05,0.9859523773193359,0.9940702319145203,0.04747238755226135
19,0.9838095307350159,0.9945412874221802,0.054596900939941406,5e-05,0.3471428453922272,0.8983745574951172,2.332537889480591
20,0.988095223903656,0.9957181215286255,0.04308416694402695,2.5e-05,0.9871428608894348,0.9960023164749146,0.038379210978746414
21,0.9869047403335571,0.9953804016113281,0.04583544284105301,2.5e-05,0.9847618937492371,0.9953778982162476,0.05210345610976219
22,0.9857142567634583,0.9952801465988159,0.047925714403390884,2.5e-05,0.9852380752563477,0.9958958625793457,0.04618019610643387
23,0.988095223903656,0.9974508285522461,0.0402492955327034,2.5e-05,0.9854761958122253,0.9909977912902832,0.05158568546175957
